"","Year","Date","Start","End","Location","Site","Habitat","Transect","Swath","Taxonomy","Family","Count","Total_Length","Length_Anomaly","Biomass","Coarse_Trophic","Fine_Trophic","Cloud_Cover","Wind_Velocity","Sea_State","Swell","Visibility","Surge","Diver"
"14","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Stegastes fasciolatus","Pomacentridae",2,20,"0",0.43,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"15","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Stegastes fasciolatus","Pomacentridae",3,25,"0",1.27,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"16","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Stegastes fasciolatus","Pomacentridae",1,30,"0",0.73,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"17","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Stegastes fasciolatus","Pomacentridae",4,35,"0",4.62,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"18","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Taenianotus triacanthus","Scorpaenidae",1,55,"0",3.5,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"19","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Acanthurus nigricauda","Acanthuridae",1,150,"0",47.4,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"20","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Acanthurus nigricauda","Acanthuridae",1,160,"0",58.1,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"21","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Acanthurus nigricauda","Acanthuridae",1,180,"0",84.4,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"22","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Acanthurus nigrofuscus","Acanthuridae",1,45,"0",1.72,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"23","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Acanthurus olivaceus","Acanthuridae",1,180,"0",111.1,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"24","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Anampses melanurus","Labridae",1,40,"0",1.09,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"25","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Anampses melanurus","Labridae",1,45,"0",1.51,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"26","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Anampses melanurus","Labridae",5,50,"0",10.12,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"27","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Balistapus undulatus","Balistidae",1,110,"0",19.5,"Secondary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"28","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Balistapus undulatus","Balistidae",1,150,"0",55.8,"Secondary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"29","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Balistapus undulatus","Balistidae",1,160,"0",69.4,"Secondary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"30","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Balistapus undulatus","Balistidae",1,180,"0",103.5,"Secondary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"31","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Cantherhines sandwichiensis","Monacanthidae",1,140,"0",38.4,"Primary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"32","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Carcharhinus melanopterus","Carcharhinidae",1,1500,"0",29986.4,"Piscivore_primarily","Piscivore",5,1,0,0,28,0,"GB"
"33","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Centropyge flavissima","Pomacanthidae",1,45,"0",3.59,"Primary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"34","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Centropyge flavissima","Pomacanthidae",1,50,"0",4.71,"Primary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"35","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Centropyge flavissima","Pomacanthidae",2,55,"0",12.05,"Primary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"36","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Centropyge flavissima","Pomacanthidae",1,60,"0",7.54,"Primary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"37","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Cephalopholis argus","Serranidae",3,160,"0",188.8,"Piscivore_primarily","Piscivore",5,1,0,0,28,0,"GB"
"38","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Cephalopholis argus","Serranidae",2,180,"0",183,"Piscivore_primarily","Piscivore",5,1,0,0,28,0,"GB"
"39","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Cephalopholis argus","Serranidae",1,190,"0",108.7,"Piscivore_primarily","Piscivore",5,1,0,0,28,0,"GB"
"40","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Cephalopholis argus","Serranidae",1,200,"0",128,"Piscivore_primarily","Piscivore",5,1,0,0,28,0,"GB"
"41","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Cephalopholis urodeta","Serranidae",1,150,"0",58.1,"Piscivore_primarily","Piscivore",5,1,0,0,28,0,"GB"
"42","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Cephalopholis urodeta","Serranidae",1,170,"0",82.7,"Piscivore_primarily","Piscivore",5,1,0,0,28,0,"GB"
"43","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Chlorurus spilurus","Scaridae",14,180,"0",1814,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"44","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Chlorurus spilurus","Scaridae",1,200,"0",177.2,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"45","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Chlorurus spilurus","Scaridae",1,210,"0",204.8,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"46","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Chromis acares","Pomacentridae",65,25,"0",17,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"GB"
"47","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Chromis iomelas","Pomacentridae",2,30,"0",0.55,"Planktivore","Omnivore",5,1,0,0,28,0,"GB"
"48","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Chromis vanderbilti","Pomacentridae",55,35,"0",41.74,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"GB"
"49","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Chromis xanthura","Pomacentridae",1,15,"0",0.04,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"GB"
"50","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Chromis xanthura","Pomacentridae",1,20,"0",0.09,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"GB"
"51","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Chromis xanthura","Pomacentridae",1,25,"0",0.18,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"GB"
"52","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Cirrhilabrus exquisitus","Labridae",3,35,"0",1.61,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"GB"
"53","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Cirrhilabrus scottorum","Labridae",45,30,"0",15.81,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"54","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Coris gaimard","Labridae",1,35,"0",0.38,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"55","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Coris gaimard","Labridae",1,60,"0",2.21,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"56","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Ctenochaetus flavicauda","Acanthuridae",1,35,"0",0.9,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"57","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Forcipiger flavissimus","Chaetodontidae",1,160,"0",112.8,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"58","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Forcipiger flavissimus","Chaetodontidae",1,170,"0",134.1,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"59","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Gomphosus varius","Labridae",3,50,"0",4.28,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"60","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Halichoeres claudia","Labridae",1,50,"0",1.96,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"61","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Halichoeres claudia","Labridae",1,60,"0",3.38,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"62","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Halichoeres claudia","Labridae",2,70,"0",10.7,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"63","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Halichoeres hortulanus","Labridae",1,50,"0",1.96,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"64","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Halichoeres hortulanus","Labridae",1,80,"0",7.97,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"65","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Labroides dimidiatus","Labridae",1,40,"0",0.52,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"66","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Labroides dimidiatus","Labridae",1,45,"0",0.76,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"67","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Labroides rubrolabiatus","Labridae",1,50,"0",1.07,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"68","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Macropharyngodon meleagris","Labridae",1,20,"0",0.1,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"69","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Melichthys vidua","Balistidae",2,170,"0",170.5,"Primary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"70","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Melichthys vidua","Balistidae",3,180,"0",310.6,"Primary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"71","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Naso lituratus","Acanthuridae",5,180,"0",287.6,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"72","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Novaculichthys taeniourus","Labridae",1,210,"0",170.4,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"73","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Ostracion meleagris","Ostraciidae",1,50,"0",7.42,"Secondary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"74","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Parupeneus multifasciatus","Mullidae",1,110,"0",18.3,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"75","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Parupeneus multifasciatus","Mullidae",1,180,"0",89.2,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"76","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Plagiotremus tapeinosoma","Blenniidae",1,70,"0",1.51,"Secondary Consumer","Fish Scale Consumer",5,1,0,0,28,0,"GB"
"77","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Plagiotremus tapeinosoma","Blenniidae",1,110,"0",5.6,"Secondary Consumer","Fish Scale Consumer",5,1,0,0,28,0,"GB"
"78","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Pomachromis fuscidorsalis","Pomacentridae",60,40,"0",73.7,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"GB"
"79","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Scarus globiceps","Scaridae",1,180,"0",120.2,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"80","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Scarus globiceps","Scaridae",1,210,"0",189.5,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"81","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Scarus psittacus","Scaridae",40,170,"0",5094.6,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"82","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Scarus psittacus","Scaridae",3,180,"0",461.9,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"83","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Scarus rubroviolaceus","Scaridae",1,210,"0",143.4,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"84","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Scarus rubroviolaceus","Scaridae",1,230,"0",187.6,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"85","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Stethojulis bandanensis","Labridae",1,50,"0",1.94,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"86","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Sufflamen bursa","Balistidae",1,120,"0",46.9,"Secondary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"87","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Sufflamen bursa","Balistidae",2,130,"0",118.7,"Secondary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"88","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Thalassoma amblycephalum","Labridae",1,80,"0",7.71,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"GB"
"89","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Thalassoma amblycephalum","Labridae",1,110,"0",20.7,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"GB"
"90","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Thalassoma lutescens","Labridae",2,70,"0",9.68,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"91","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Thalassoma quinquevittatum","Labridae",1,35,"0",0.6,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"92","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Thalassoma quinquevittatum","Labridae",1,60,"0",3.16,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"93","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Thalassoma quinquevittatum","Labridae",2,70,"0",10.19,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"94","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Thalassoma quinquevittatum","Labridae",2,120,"0",54.1,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"95","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Thalassoma quinquevittatum","Labridae",1,130,"0",34.7,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"96","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Zebrasoma scopas","Acanthuridae",8,150,"0",770.9,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"97","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 5 m",1,"FO",1,5,"Zebrasoma scopas","Acanthuridae",2,160,"0",233.8,"Primary Consumer","Herbivore/Detritivore",5,1,0,0,28,0,"GB"
"98","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 2 Swath 1 m",1,"FO",2,1,"Nemateleotris magnifica","Gobiidae",9,20,"0",1.3,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"AB"
"99","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 2 Swath 1 m",1,"FO",2,1,"Nemateleotris magnifica","Gobiidae",14,30,"0",6.59,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"AB"
"100","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 2 Swath 1 m",1,"FO",2,1,"Nemateleotris magnifica","Gobiidae",6,40,"0",6.54,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"AB"
"101","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 2 Swath 1 m",1,"FO",2,1,"Nemateleotris magnifica","Gobiidae",6,50,"0",12.54,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"AB"
"102","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 2 Swath 1 m",1,"FO",2,1,"Ostorhinchus nigrofasciatus","Apogonidae",1,40,"0",0.87,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"AB"
"103","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 2 Swath 1 m",1,"FO",2,1,"Paracirrhites arcatus","Cirrhitidae",1,40,"0",0.86,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"AB"
"104","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 2 Swath 1 m",1,"FO",2,1,"Plectroglyphidodon lacrymatus","Pomacentridae",1,25,"0",0.25,"Primary Consumer","Omnivore",5,1,0,0,28,0,"AB"
"105","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 2 Swath 1 m",1,"FO",2,1,"Plectroglyphidodon lacrymatus","Pomacentridae",2,40,"0",2.27,"Primary Consumer","Omnivore",5,1,0,0,28,0,"AB"
"106","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 2 Swath 1 m",1,"FO",2,1,"Pseudocheilinus hexataenia","Labridae",1,30,"0",0.35,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"AB"
"107","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 2 Swath 1 m",1,"FO",2,1,"Pseudocheilinus octotaenia (cf)","Labridae",1,60,"0",3.18,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"AB"
"108","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 2 Swath 1 m",1,"FO",2,1,"Ptereleotris heteroptera","Gobiidae",15,50,"0",29.01,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"AB"
